Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
Roadbikehire.ie,http://roadbikehire.ie,+353(0)868545654,-6.1265601,53.2541173,Dublin,Killiney,Republic of Ireland
John Keoghs The Lock Keeper,http://johnkeoghs.ie/,+353(0)91449431,-9.05859582023777,53.2701432153847,Galway,Galway,Republic of Ireland
Nook Café,https://facebook.com/NookCafeRestaurant,+353(0)873522135,-8.49199333807439,54.1818240760964,Sligo,Collooney,Republic of Ireland
I am of Ireland,http://iamofireland.ie,+353(0)877997317,-7.83539340475465,51.9935181987838,Waterford,Clashmore,Republic of Ireland
Leisure Max - Family Entertainment Centre,http://leisuremax.ie,+353(0)539122900,-6.46086791901859,52.3036687248447,Wexford,Drinagh,Republic of Ireland
1st Adventure Tours,http://1stadventuretours.ie,+353(0)860767812,-8.60323392388511,54.1680768171531,Sligo,Coolaney,Republic of Ireland
Liberty & Jasmine Vintage Boutique,https://facebook.com/LibertyandJasmine/?fref=ts&ref=br_tf,+353(0)876462507,-9.2695319,51.5494077,Cork,Skibbereen,Republic of Ireland
Wild Atlantic Crusades,http://wildatlanticcrusades.com,+353(0)838118500,-8.30821506306529,54.444063845349,Leitrim,Kinlough,Republic of Ireland
Chain Driven Cycles,http://chaindrivencycles.com,+353(0)719129008,-8.48080712641232,54.2713073010575,Sligo,Sligo Town,Republic of Ireland
Good Food Ireland,https://www.goodfoodireland.ie/,,-6.4535671,52.2812162,Wexford,Drinagh,Republic of Ireland
EMPIRE Bars Grill Venue,http://www.empirebars.ie,+353(0)18138328,-6.2202982,53.4585579,Dublin,Swords,Republic of Ireland
Bison Bar & BBQ,http://www.bisonbar.ie,+353(0)860563144,-6.26631,53.345529,Dublin,Dublin City,Republic of Ireland
Castlemorris Wood - Holly Loop,http://www.irishtrails.ie/Trail/Castlemorris---Holly-loop/120/,,-7.27840947972822,52.4706061720635,Kilkenny,Knocktopher,Republic of Ireland
Rickets Rock Loop Walk,,,-7.52521460473349,53.149038742129,Laois,Clonaslee,Republic of Ireland
O'Gorman's Lane Loop Walk,http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/,,-7.18228840808342,52.5923527730017,Kilkenny,Bennettsbridge,Republic of Ireland
Sammys Bar,http://www.inchbeach.com,+353(0)669158118,-9.98145,52.14267,Kerry,Inch,Republic of Ireland
The Lord Lucan,http://www.lordlucanpub.com,+353(0)16217100,-6.450927,53.348457,Dublin,Lucan,Republic of Ireland
Donegal Bay Waterbus,http://www.donegalbaywaterbus.com,+353(0)749723666,-8.111453,54.652789,Donegal,Donegal Town,Republic of Ireland
Connemara Safari Guided Walking Holidays,http://www.walkingconnemara.com,+353(0)9521071,-10.0452,53.490799,Galway,Clifden,Republic of Ireland
