Name,Url,Telephone,Longitude,Latitude,AddressRegion,AddressLocality,AddressCountry
John Keoghs The Lock Keeper,http://johnkeoghs.ie/,+353(0)91449431,-9.05859582023777,53.2701432153847,Galway,Galway,Republic of Ireland
Connemara Safari Guided Walking Holidays,http://www.walkingconnemara.com,+353(0)9521071,-10.0452,53.490799,Galway,Clifden,Republic of Ireland
Tí Joe Watty's,http://www.joewattys.com,+353(0)860494509,-9.674758,53.12105,Galway,Inishmore - Árainn,Republic of Ireland
Marconi Restaurant,http://www.foyleshotel.com,+353(0)9521801,-10.022791,53.48865,Galway,Clifden,Republic of Ireland
O’Dowd’s Seafood Bar and Restaurant,http://www.odowdsseafoodbar.com/,+353(0)9535809,-9.9193160171967,53.3971617139903,Galway,Roundstone,Republic of Ireland
An Ceardlann - Spiddal Craft and Design Studios,http://www.ceardlann.com,+353(0)91553376,-9.300513,53.245493,Galway,Spiddal,Republic of Ireland
Galway Irish Crystal,http://www.galwaycrystal.ie,+353(0)91757311,-8.9967748723526,53.2737496062343,Galway,Galway City,Republic of Ireland
Galway Family History Society (West) Ltd.,http://www.rootsireland.ie,+353(0)91860464,-9.07109418650816,53.2759568992711,Galway,Galway City,Republic of Ireland
Blue Water Fishing,http://www.seafishingireland.net,+353(0)9521073,-10.042122,53.511565,Galway,Clifden,Republic of Ireland
"Walking - The Western Way, Galway",http://www.thewesternway.ie,+353(0)9541116,-9.048728,53.276473,Galway,Oughterard,Republic of Ireland
Errislannan Riding Centre & Connemara Pony Stud,http://www.errislannan-manor-riding.com,+353(0)9521134,-10.0695317782331,53.4810454376151,Galway,Clifden,Republic of Ireland
Slieve Aughty Riding Centre,http://www.slieveaughtycentre.com/horse-riding-activities-ireland/,+353(0)909745246,-8.47261735189579,53.1340443904518,Galway,Loughrea,Republic of Ireland
The Point Pony Trekking and Horse Riding,http://www.thepointponytrekkingcentre.com,+353(0)9523685,-10.0749437362162,53.4342688687443,Galway,Ballyconneely,Republic of Ireland
Loughrea Golf Club,http://www.loughreagolfclub.com,+353(0)91841049,-8.560867,53.218213,Galway,Loughrea,Republic of Ireland
Portumna Golf Club,http://www.portumnagolfclub.ie,+353(0)909741059,-8.256448,53.091054,Galway,Portumna,Republic of Ireland
Connemara Marble Visitor Centre,,+353(0)91555746/555102,-9.184603,53.340378,Galway,Moycullen,Republic of Ireland
Delphi Fishery,http://www.fishinginireland.info/salmon/west/delphi.htm,+353(0)9542222,-9.75169337406851,53.6212129831694,Galway,Leenane,Republic of Ireland
