ID,NAME,URL,TELEPHONE,LONGITUDE,LATITUDE,ADDRESS_REGION,ADDRESS_LOCALITY,ADDRESS_COUNTRY
12,Bison Bar & BBQ,http://www.bisonbar.ie,+353(0)860563144,-6.26631,53.345529,Dublin,Dublin City,Republic of Ireland
16,Sammys Bar,http://www.inchbeach.com,+353(0)669158118,-9.98145,52.14267,Kerry,Inch,Republic of Ireland
38,Jennings Pub,,+353(0)16615868,-6.248352,53.341479,Dublin,Dublin City,Republic of Ireland
39,Dicey Reillys Bar,,+353(0)14784066,-6.26367,53.335825,Dublin,Dublin City,Republic of Ireland
45,Quinns Bar and Bistro,http://www.royalhotel.ie,+353(0)12862935,-6.10897,53.204913,Wicklow,Bray,Republic of Ireland
86,O’Dowd’s Seafood Bar and Restaurant,http://www.odowdsseafoodbar.com/,+353(0)9535809,-9.9193160171967,53.3971617139903,Galway,Roundstone,Republic of Ireland
141,The Belfry Pub and Embassy Restaurant,http://www.belfrypub.com,+353(0)719161250,-8.471527,54.270974,Sligo,Sligo Town,Republic of Ireland
146,Langton's Bar and Restaurant,http://www.langtons.ie,+353(0)567765133,-7.24817747238728,52.6533283395928,Kilkenny,Kilkenny City,Republic of Ireland
147,O Connors Pub,,+353(0)719167267,-8.508725,54.209757,Sligo,Ballisodare,Republic of Ireland
148,Gilroy's Bar,http://www.gilroysbar.com/,+353(0)9637222,-9.09331353984635,54.2128917672035,Sligo,Enniscrone,Republic of Ireland
149,O'Donoghue's Pub,,+353(0)2770007,-9.910222,51.650956,Cork,Castletownbere,Republic of Ireland
150,Fisherman's Bar And Skellig Restaurant,,+353(0)669477103,-10.366482,51.885577,Kerry,Portmagee,Republic of Ireland
151,Fitzpatrick's Pub,,+353(0)40467392,-6.044288,52.980604,Wicklow,Wicklow Town,Republic of Ireland
174,Kielys Bar & Lounge,http://www.kielysbar.com,+353(0)6251239,-8.162292,52.473432,Tipperary,Tipperary Town,Republic of Ireland
177,Jack Meades Pub,http://www.jackmeades.com,+353(0)51850950,-7.034471,52.235415,Waterford,Waterford City,Republic of Ireland
184,Beaufort Bar and Restaurant,http://www.beaufortbar.com,+353(0)646644032,-9.633145,52.0697,Kerry,Killarney,Republic of Ireland
230,Cons Bar,http://www.facebook.com/Consbar/,+353(0)449340925,-7.34574194973754,53.524764798656,Westmeath,Mullingar,Republic of Ireland
244,The Old Oak Bar and Cyprus Avenue,http://www.cyprusavenue.ie,+353(0)214276165,-8.470067,51.898141,Cork,Cork City,Republic of Ireland
247,Boston Bar,,+353(0)2752080,-9.451439,51.678713,Cork,Bantry,Republic of Ireland
248,Bushe's Bar,http://www.bushesbar.com,+353(0)2820125,-9.372976,51.483238,Cork,Baltimore,Republic of Ireland
249,Causkey's Bar,,+353(0)2774161,-9.958037,51.694151,Cork,Eyeries,Republic of Ireland
257,An Sugan Seafood Bar & Restaurant,http://www.ansugan.com,+353(0)238833498,-8.88585299999999,51.623167,Cork,Clonakilty,Republic of Ireland
259,Rolf's Country House Restaurant & Wine Bar,http://www.rolfscountryhouse.com/,+353(0)2820289,-9.368592,51.479594,Cork,Baltimore,Republic of Ireland
265,Lord Baker's Seafood Restaurant & Bar,http://www.lordbakers.ie/,+353(0)669151277,-10.268422,52.141525,Kerry,Dingle,Republic of Ireland
266,Mary Ann's Bar & Restaurant,,+353(0)2836146,-9.174864,51.528243,Cork,Skibbereen,Republic of Ireland
272,The Bosun Restaurant and Bar,http://www.thebosun.ie,+353(0)214842172,-8.331986,51.849601,Cork,Monkstown,Republic of Ireland
279,Franciscan Well Brewery and Brew Pub,http://www.franciscanwellbrewery.com,+353(0)214393434,-8.4818983999653,51.9010555445841,Cork,Cork City,Republic of Ireland
280,McSorley's Bar & Nightclub,http://www.mcsorleyskillarney.com,+353(0)646639770,-9.506744,52.059036,Kerry,Killarney,Republic of Ireland
302,Oliver's Bar & Restaurant,http://oliversonclegganpier.ie,+353(0)9544640,-10.1121914088521,53.556600957255,Galway,Cleggan,Republic of Ireland
320,Daniel McNello's Bar,https://www.facebook.com/daniel.mcnellosbar,+353(0)429378355,-6.579488,54.003062,Monaghan,Inniskeen,Republic of Ireland
331,Maddens Bridge Bar,,+353(0)719842050,-8.28118388950349,54.4775649157353,Donegal,Bundoran,Republic of Ireland
342,The Lobster Pot Pub and Restaurant,,+353(0)539131110,-6.374431,52.198725,Wexford,Rosslare,Republic of Ireland
359,Boston's Bar & Restaurant,,+353(0)669476140,-10.292033,51.92543,Kerry,Valentia Island,Republic of Ireland
396,McGinleys Pub & Off Sales,,+353(0)749131150,-7.783744,54.799512,Donegal,Ballybofey,Republic of Ireland
400,Bodéga Restaurant & Wine Bar,http://www.bodegawaterford.com,+353(0)51844177,-7.111617,52.25784,Waterford,Waterford City,Republic of Ireland
404,Kruger's Bar,http://www.krugers.ie/index.php/ie/,+353(0)669156127,-10.453559,52.134166,Kerry,Ballyferriter,Republic of Ireland
414,Courtney's Bar,http://www.courtneysbar.com,+353(0)646632689,-9.508203,52.058547,Kerry,Killarney,Republic of Ireland
420,The Fáilte Restaurant & Bar,http://www.failtekillarney.com,+353(0)646633404,-9.506826,52.059397,Kerry,Killarney,Republic of Ireland
431,Boardwalk Café and Bar,http://www.thelandmarkhotel.com/food/the-boardwalk,+353(0)719622222,-8.092845,53.94355,Leitrim,Carrick-On-Shannon,Republic of Ireland
432,Mallard Bar,http://www.thelandmarkhotel.com/food/landmark-bars,+353(0)719622222,-8.092845,53.94355,Leitrim,Carrick-On-Shannon,Republic of Ireland
435,Caheny's Pub and Off-License,,+353(0)719161455,-8.471468,54.266048,Sligo,Sligo Town,Republic of Ireland
438,Dom Breslin's Bar & Restaurant,http://www.Pier1.itgo.com,+353(0)749722719,-8.111504,54.652945,Donegal,Donegal Town,Republic of Ireland
439,Dicey Reilly's Pub,http://www.diceys.com,+353(0)719851371,-8.190075,54.502836,Donegal,Ballyshannon,Republic of Ireland
445,Yeats Tavern Restaurant & Davis's Pub,http://www.yeatstavernrestaurant.com,+353(0)719163117,-8.501451,54.32891,Sligo,Drumcliffe,Republic of Ireland
446,The Strand Bar &  Restaurants,http://www.thestrandbar.ie,+353(0)719168140-Bar,-8.608431,54.270688,Sligo,Strandhill,Republic of Ireland
451,Gene Anderson's Thatch Pub,http://www.andersonspub.com,+353(0)872283288,-8.129801,53.909298,Leitrim,Carrick On Shannon,Republic of Ireland
452,O'Grady's Bar and Restaurant,http://www.ogradysgort.net,+353(0)91631096,-8.819298,53.066596,Galway,Gort,Republic of Ireland
453,Cooke's Restaurant & Wine Bar,http://www.cookesrestaurantgalway.com,+353(0)91568203,-9.052722,53.273693,Galway,Galway City,Republic of Ireland
454,Keogh's Bar and Restaurant,,+353(0)91637145,-8.937647,53.138623,Galway,Kinvara,Republic of Ireland
455,"Mount Gable House, Bar & Restaurant",http://www.burkes-clonbur.com,+353(0)949546175,-9.365542,53.545039,Galway,Clonbur,Republic of Ireland
478,The Brandywell Bar and Restaurant,http://www.brandywell.ie/,+353(0)719638278,-7.922623,53.859685,Leitrim,Dromod,Republic of Ireland
492,The Brewery Bar,http://www.thebrewerybar.ie,+353(0)749127330,-7.738006,54.949819,Donegal,Letterkenny,Republic of Ireland
517,Corcoran's Pub,,+353(0)51425920,-6.930637,52.398851,Wexford,New Ross ,Republic of Ireland
532,Fiddlers Creek Bar & Restaurant,http://www.fiddlerscreek.ie,+353(0)719141866,-8.473691,54.271217,Sligo,Sligo Town,Republic of Ireland
534,The Locke Bar,http://www.lockebar.com,+353(0)61413733,-8.62307103525882,52.6672177059966,Limerick,Limerick City,Republic of Ireland
537,Brogans Bar and Restaurant,http://www.brogansbarandrestaurant.com/,+353(0)656829480,-8.982675,52.843508,Clare,Ennis,Republic of Ireland
538,Knoxs Pub & Restaurant,http://www.knoxs.ie,+353(0)656829264,-8.982371,52.84494,Clare,Ennis,Republic of Ireland
541,The Old Thatch Bar,,+353(0)2495116,-7.992607,51.94265,Cork,Killeagh,Republic of Ireland
545,Raftery's  Bar & Restaurant,https://www.facebook.com/rafterysbar.craughwell,+353(0)91846708,-8.73386681349189,53.2294433967689,Galway,Craughwell,Republic of Ireland
561,Hi-Way Restaurant & Lounge Bar,http://www.hiwaybar.ie/,+353(0)61227449,-8.653787,52.63693,Limerick,Limerick City,Republic of Ireland
567,Finnegans Bar & Restaurant,,+353(0)61337338,-8.517996,52.672298,Limerick,Annacotty,Republic of Ireland
609,Murphy's Bar,,+353(0)91564589,-9.053615,53.271959,Galway,Galway City,Republic of Ireland
617,The Venue Bar & Restaurant,,+353(0)719168167,-8.596121,54.266859,Sligo,Strandhill,Republic of Ireland
621,Andy's Bar & Restaurant,http://www.andysmonaghan.com,+353(0)4782277,-6.972138,54.247728,Monaghan,Monaghan Town,Republic of Ireland
631,Hannigan's Bar & Restaurant,http://www.killarneyinternational.com,+353(0)646631816,-9.507589,52.058227,Kerry,Killarney,Republic of Ireland
636,McGilloway's Oyster Bar,,+353(0)749136438,-7.970647,55.183384,Donegal,Dunfanaghy,Republic of Ireland
642,John Benny's Pub,http://www.johnbennyspub.com,+353(0)669151215,-10.274483,52.139396,Kerry,Dingle ,Republic of Ireland
644,"Crockets on the Quay, Restaurant & Bar",,+353(0)9675930,-9.137234,54.131542,Mayo,Ballina,Republic of Ireland
