X,Y,OBJECTID,NUMBER,TYPE,NAME,Lat,Long,EastITM,NorthITM,EastIG,NorthIG
-9.13415204770846,53.264415357133309,1,a01,G.A.A. Pitch,Cappagh Park,53.264,-9.134,524337.139,724385.826,124370.044,224356.434
-9.133020053521141,53.263070358806161,2,a02,G.A.A. Pitch,Cappagh Park,53.263,-9.133,524410.284,724234.977,124443.205,224205.553
-9.13093604648447,53.264694358382251,3,a03,Soccer Pitch,Cappagh Park,53.265,-9.131,524552.172,724413.47,124585.123,224384.085
-9.133805057798897,53.261987360149853,4,a04,Soccer Pitch,Cappagh Park,53.262,-9.134,524356.003,724115.308,124388.913,224085.858
-9.111071048579548,53.26358136885726,5,a05,G.A.A. Pitch,McGrath's Field,53.264,-9.111,525875.447,724268.851,125908.684,224239.443
-9.094416009900588,53.272902366987871,6,a07,Soccer Pitch,Millars Lane 1,53.273,-9.094,527002.416,725288.817,127035.893,225259.635
-9.093618011450358,53.272241368365748,7,a08,Soccer Pitch,Millars Lane 2,53.272,-9.094,527054.515,725214.456,127088.004,225185.258
-9.084037009134306,53.272365372205876,8,a09,All Weather Pitch,Glen Oakes 1,53.272,-9.084,527693.765,725218.518,127727.391,225189.325
-9.080556000656554,53.274586371574642,9,a11,G.A.A. Pitch,Westside Sports,53.275,-9.081,527929.678,725462.124,127963.355,225432.985
-9.078165997230816,53.275367371080229,10,a12,G.A.A. Pitch,Westside Sports,53.275,-9.078,528090.391,725546.615,128124.102,225517.495
-9.079857996189753,53.275732370318082,11,a13,Soccer Pitch,Westside Sports,53.276,-9.08,527978.158,725588.931,128011.845,225559.819
-9.080702993786982,53.276298369719427,12,a14,Soccer Pitch,Westside Sports,53.276,-9.081,527922.754,725652.759,127956.429,225623.661
-9.0752079670855,53.282819364870974,13,a15,Soccer Pitch,Laurel Park,53.283,-9.075,528300.145,726372.797,128333.899,226343.855
-9.072638967824622,53.282293366765032,14,a16,Rugby Pitch,Laurel Park,53.282,-9.073,528470.573,726311.697,128504.364,226282.743
-9.070280989412778,53.276907373115044,15,a17,Soccer Pitch,Shantalla,53.277,-9.07,528618.838,725710.061,128652.663,225680.979
-9.075044987184404,53.277601370331276,16,a19,Soccer Pitch,Corrib Park,53.278,-9.075,528302.281,725792.048,128336.037,225762.982
