ID,NAME,URL,TELEPHONE,LONGITUDE,LATITUDE,ADDRESS_REGION,ADDRESS_LOCALITY,ADDRESS_COUNTRY
41,Druids Heath,http://www.druidsglenresort.com/golf-courses-wicklow.html,+353(0)12812278,-6.080229,53.091752,Wicklow,Newtownmountkennedy,Republic of Ireland
46,Strandhill Golf Club,http://www.strandhillgolfclub.com,+353(0)719168188,-8.604375,54.265578,Sligo,Strandhill,Republic of Ireland
47,Tubbercurry Golf Club,http://www.tubbercurrygolfclub.com,+353(0)719185849,-8.714401,54.052979,Sligo,Tubbercurry,Republic of Ireland
48,Knockanally Golf and Country Club,http://www.knockanally.com,+353(0)45869322,-6.784568,53.385285,Kildare,Donadea,Republic of Ireland
49,Kilkenny Golf Club,http://www.kilkennygolfclub.com,+353(0)567765400,-7.249659,52.671434,Kilkenny,Kilkenny City,Republic of Ireland
50,The Heath Golf Club Portlaoise,http://www.theheathgc.ie,+353(0)578646533,-7.213381,53.060311,Laois,Portlaoise,Republic of Ireland
51,County Longford Golf Club,http://www.countylongfordgolfclub.com,+353(0)433346310,-7.781031,53.721072,Longford,Longford,Republic of Ireland
52,Ardee Golf Club,http://www.ardeegolfclub.com,+353(0)416853227,-6.547894,53.861957,Louth,Ardee,Republic of Ireland
53,Greenore Golf Club,http://www.greenoregolfclub.com,+353(0)429373212,-6.136248,54.031342,Louth,Greenore,Republic of Ireland
54,Courtown Golf Club,http://www.courtowngolfclub.com,+353(0)539425166,-6.231333,52.659506,Wexford,Courtown,Republic of Ireland
55,Enniscorthy Golf Club,http://www.enniscorthygc.ie,+353(0)539233191,-6.594386,52.489221,Wexford,Enniscorthy,Republic of Ireland
56,Rosslare Golf Club,http://www.rosslaregolf.com,+353(0)539132203,-6.393435,52.28415,Wexford,Rosslare,Republic of Ireland
57,Blainroe Golf Club,http://www.blainroe.com,+353(0)40468168,-6.017685,52.945031,Wicklow,Blainroe,Republic of Ireland
58,Wexford Golf Club,http://www.wexfordgolfclub.ie,+353(0)539142238,-6.46569871031192,52.3265610514227,Wexford,Wexford,Republic of Ireland
59,Charleville Golf Club,http://www.charlevillegolf.com,+353(0)6381257,-8.723963,52.347375,Cork,Charleville,Republic of Ireland
60,Cork Golf Club,http://www.corkgolfclub.ie,+353(0)214353451,-8.354392,51.901428,Cork,Little Island,Republic of Ireland
61,Rathsallagh Golf Club,http://www.rathsallagh.com,+353(0)45403316,-6.738988,53.026141,Wicklow,Dunlavin,Republic of Ireland
62,Wicklow Golf Club,http://www.wicklowgolfclub.ie,+353(0)40467379,-6.026081,52.975045,Wicklow,Wicklow Town,Republic of Ireland
63,Fota Island Resort,http://www.fotaisland.ie/Welcome-to-Fota-Island-Golf-Club,+353(0)214883700,-8.291177,51.898761,Cork,Fota Island,Republic of Ireland
64,Woodenbridge Golf Club,http://www.woodenbridge.com,+353(0)40235202,-6.230618,52.83331,Wicklow,Arklow,Republic of Ireland
65,Clonmel Golf Club,http://www.clonmelgolfclub.com,+353(0)526124050,-7.651233,52.333158,Tipperary,Clonmel,Republic of Ireland
