ID,NAME,URL,TELEPHONE,LONGITUDE,LATITUDE,ADDRESS_REGION,ADDRESS_LOCALITY,ADDRESS_COUNTRY
1,Roadbikehire.ie,http://roadbikehire.ie,+353(0)868545654,-6.1265601,53.2541173,Dublin,Killiney,Republic of Ireland
2,John Keoghs The Lock Keeper,http://johnkeoghs.ie/,+353(0)91449431,-9.05859582023777,53.2701432153847,Galway,Galway,Republic of Ireland
3,Nook Café,https://facebook.com/NookCafeRestaurant,+353(0)873522135,-8.49199333807439,54.1818240760964,Sligo,Collooney,Republic of Ireland
4,I am of Ireland,http://iamofireland.ie,+353(0)877997317,-7.83539340475465,51.9935181987838,Waterford,Clashmore,Republic of Ireland
5,Leisure Max - Family Entertainment Centre,http://leisuremax.ie,+353(0)539122900,-6.46086791901859,52.3036687248447,Wexford,Drinagh,Republic of Ireland
6,1st Adventure Tours,http://1stadventuretours.ie,+353(0)860767812,-8.60323392388511,54.1680768171531,Sligo,Coolaney,Republic of Ireland
7,Liberty & Jasmine Vintage Boutique,https://facebook.com/LibertyandJasmine/?fref=ts&ref=br_tf,+353(0)876462507,-9.2695319,51.5494077,Cork,Skibbereen,Republic of Ireland
8,Wild Atlantic Crusades,http://wildatlanticcrusades.com,+353(0)838118500,-8.30821506306529,54.444063845349,Leitrim,Kinlough,Republic of Ireland
9,Chain Driven Cycles,http://chaindrivencycles.com,+353(0)719129008,-8.48080712641232,54.2713073010575,Sligo,Sligo Town,Republic of Ireland
10,Good Food Ireland,https://www.goodfoodireland.ie/,,-6.4535671,52.2812162,Wexford,Drinagh,Republic of Ireland
11,EMPIRE Bars Grill Venue,http://www.empirebars.ie,+353(0)18138328,-6.2202982,53.4585579,Dublin,Swords,Republic of Ireland
13,Castlemorris Wood - Holly Loop,http://www.irishtrails.ie/Trail/Castlemorris---Holly-loop/120/,,-7.27840947972822,52.4706061720635,Kilkenny,Knocktopher,Republic of Ireland
14,Rickets Rock Loop Walk,,,-7.52521460473349,53.149038742129,Laois,Clonaslee,Republic of Ireland
15,O'Gorman's Lane Loop Walk,http://www.irishtrails.ie/Trail/O-Gormans-Lane-/583/,,-7.18228840808342,52.5923527730017,Kilkenny,Bennettsbridge,Republic of Ireland
17,The Lord Lucan,http://www.lordlucanpub.com,+353(0)16217100,-6.450927,53.348457,Dublin,Lucan,Republic of Ireland
18,Donegal Bay Waterbus,http://www.donegalbaywaterbus.com,+353(0)749723666,-8.111453,54.652789,Donegal,Donegal Town,Republic of Ireland
19,Connemara Safari Guided Walking Holidays,http://www.walkingconnemara.com,+353(0)9521071,-10.0452,53.490799,Galway,Clifden,Republic of Ireland
20,Willow and Wild,http://www.bonziedesigns.com,+353(0)861230696,-7.11094,52.258773,Waterford,Waterford City,Republic of Ireland
21,Dalvey,http://www.dalvey.com,+353(0)16799977,-6.259924,53.341803,Dublin,Dublin City,Republic of Ireland
22,Tí Joe Watty's,http://www.joewattys.com,+353(0)860494509,-9.674758,53.12105,Galway,Inishmore - Árainn,Republic of Ireland
23,Lucy's Wood Garden,http://www.visitwexford.ie/locations/lucys-wood-garden,+353(0)539377256,-6.667606,52.653465,Wexford,Bunclody,Republic of Ireland
24,Colclough Walled  Garden,http://www.colcloughwalledgarden.com,+353(0)833064159,-6.83345453194169,52.243823241559,Wexford,Saltmills,Republic of Ireland
25,"Jaipur, Malahide",http://jaipur.ie/locations/malahide/,+353(0)18455455,-6.15179475826641,53.4514512524201,Dublin,Malahide,Republic of Ireland
26,Jaipur,http://www.jaipur.ie,+353(0)12850552,-6.104259,53.277496,Dublin,Dalkey,Republic of Ireland
