ID,NAME,URL,TELEPHONE,LONGITUDE,LATITUDE,ADDRESS_REGION,ADDRESS_LOCALITY,ADDRESS_COUNTRY
35,Castle Leslie Restaurant,http://www.castleleslie.com,+353(0)4788100,-6.895825,54.316282,Monaghan,Glaslough,Republic of Ireland
36,Marconi Restaurant,http://www.foyleshotel.com,+353(0)9521801,-10.022791,53.48865,Galway,Clifden,Republic of Ireland
85,The Lord Bagenal Restaurant,http://www.lordbagenal.com/restaurant-carlow.html,+353(0)599774000,-6.97627156679539,52.7367646658214,Carlow,Leighlinbridge,Republic of Ireland
108,Castle Murray Hotel and Restaurant,http://www.castlemurray.com,+353(0)749737022,-8.375056,54.620455,Donegal,Dunkineely,Republic of Ireland
154,The Yellow Pepper Restaurant,http://www.yellowpepperrestaurant.com,+353(0)749124133,-7.738146,54.948175,Donegal,Letterkenny,Republic of Ireland
155,Richmond House Restaurant,http://www.richmondhouse.net,+353(0)5854278,-7.846722,52.139252,Waterford,Cappoquin,Republic of Ireland
161,The Lake Room Restaurant,http://www.aghadoeheights.com,+353(0)646631766,-9.556431,52.077414,Kerry,Killarney,Republic of Ireland
162,Blind Piper Restaurant,http://www.blindpiperpub.com/,+353(0)669475126,-10.100764,51.769538,Kerry,Caherdaniel,Republic of Ireland
163,Bricín Craft Shop & Restaurant,http://www.bricin.ie,+353(0)646634902,-9.510202562583,52.0609446588225,Kerry,Killarney,Republic of Ireland
190,The Chart House Restaurant,http://www.thecharthousedingle.com,+353(0)669152255,-10.270688,52.138492,Kerry,Dingle,Republic of Ireland
218,White Gables Restaurant,http://www.whitegables.com,+353(0)91555744,-9.18053812764742,53.3380179961077,Galway,Moycullen,Republic of Ireland
231,Glasson Village Restaurant,http://glassonvillagerestaurant.ie/,+353(0)906485001,-7.863486,53.474006,Westmeath,Athlone,Republic of Ireland
235,Michelangelo Restaurant,http://www.michelangelo.ie/,+353(0)16271809,-6.53770130919269,53.3408717261853,Kildare,Celbridge,Republic of Ireland
258,Blairscove House & Restaurant,http://www.blairscove.ie,+353(0)2761127,-9.538311,51.608745,Cork,Bantry,Republic of Ireland
